VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
-145.000 -295.000  0.468496E+00
-140.000 -295.000  0.467701E+00
-135.000 -295.000  0.466924E+00
-130.000 -295.000  0.466168E+00
-125.000 -295.000  0.465432E+00
-120.000 -295.000  0.464717E+00
-115.000 -295.000  0.464026E+00
-110.000 -295.000  0.463355E+00
-105.000 -295.000  0.462709E+00
-100.000 -295.000  0.462090E+00
 -95.000 -295.000  0.461494E+00
 -90.000 -295.000  0.460921E+00
 -85.000 -295.000  0.460379E+00
 -80.000 -295.000  0.459858E+00
 -75.000 -295.000  0.459369E+00
 -70.000 -295.000  0.458909E+00
 -65.000 -295.000  0.458477E+00
 -60.000 -295.000  0.458072E+00
 -55.000 -295.000  0.457700E+00
 -50.000 -295.000  0.457358E+00
 -45.000 -295.000  0.457046E+00
 -40.000 -295.000  0.456766E+00
 -35.000 -295.000  0.456519E+00
 -30.000 -295.000  0.456303E+00
 -25.000 -295.000  0.456120E+00
 -20.000 -295.000  0.455971E+00
 -15.000 -295.000  0.455853E+00
 -10.000 -295.000  0.455770E+00
  -5.000 -295.000  0.455720E+00
   0.000 -295.000  0.455703E+00
   5.000 -295.000  0.455720E+00
  10.000 -295.000  0.455770E+00
  15.000 -295.000  0.455853E+00
  20.000 -295.000  0.455971E+00
  25.000 -295.000  0.456120E+00
  30.000 -295.000  0.456303E+00
  35.000 -295.000  0.456519E+00
  40.000 -295.000  0.456766E+00
  45.000 -295.000  0.457046E+00
  50.000 -295.000  0.457358E+00
  55.000 -295.000  0.457700E+00
  60.000 -295.000  0.458072E+00
  65.000 -295.000  0.458477E+00
  70.000 -295.000  0.458909E+00
  75.000 -295.000  0.459369E+00
  80.000 -295.000  0.459858E+00
  85.000 -295.000  0.460379E+00
  90.000 -295.000  0.460921E+00
  95.000 -295.000  0.461494E+00
 100.000 -295.000  0.462091E+00
 105.000 -295.000  0.462709E+00
 110.000 -295.000  0.463355E+00
 115.000 -295.000  0.464026E+00
 120.000 -295.000  0.464717E+00
 125.000 -295.000  0.465432E+00
 130.000 -295.000  0.466168E+00
 135.000 -295.000  0.466923E+00
 140.000 -295.000  0.467701E+00
 145.000 -295.000  0.468496E+00
 150.000 -295.000  0.469312E+00
 155.000 -295.000  0.470140E+00
 160.000 -295.000  0.470985E+00
 165.000 -295.000  0.471843E+00
 170.000 -295.000  0.472726E+00
 175.000 -295.000  0.473619E+00
 180.000 -295.000  0.474521E+00
 185.000 -295.000  0.475441E+00
 190.000 -295.000  0.476378E+00
 195.000 -295.000  0.477324E+00
 200.000 -295.000  0.478278E+00
 205.000 -295.000  0.479240E+00
 210.000 -295.000  0.480209E+00
 215.000 -295.000  0.481204E+00
 220.000 -295.000  0.482187E+00
 225.000 -295.000  0.483196E+00
 230.000 -295.000  0.484207E+00
 235.000 -295.000  0.485220E+00
 240.000 -295.000  0.486243E+00
 245.000 -295.000  0.487258E+00
 250.000 -295.000  0.488302E+00
 255.000 -295.000  0.489340E+00
 260.000 -295.000  0.490386E+00
 265.000 -295.000  0.491429E+00
 270.000 -295.000  0.492471E+00
 275.000 -295.000  0.493525E+00
 280.000 -295.000  0.494585E+00
 285.000 -295.000  0.495643E+00
 290.000 -295.000  0.496718E+00
 295.000 -295.000  0.497780E+00
 300.000 -295.000  0.498837E+00
-300.000 -290.000  0.497697E+00
-295.000 -290.000  0.496627E+00
-290.000 -290.000  0.495533E+00
