VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
-145.000 -295.000  0.116005E+01
-140.000 -295.000  0.115616E+01
-135.000 -295.000  0.115236E+01
-130.000 -295.000  0.114864E+01
-125.000 -295.000  0.114500E+01
-120.000 -295.000  0.114145E+01
-115.000 -295.000  0.113800E+01
-110.000 -295.000  0.113465E+01
-105.000 -295.000  0.113140E+01
-100.000 -295.000  0.112827E+01
 -95.000 -295.000  0.112525E+01
 -90.000 -295.000  0.112235E+01
 -85.000 -295.000  0.111957E+01
 -80.000 -295.000  0.111692E+01
 -75.000 -295.000  0.111441E+01
 -70.000 -295.000  0.111203E+01
 -65.000 -295.000  0.110980E+01
 -60.000 -295.000  0.110771E+01
 -55.000 -295.000  0.110577E+01
 -50.000 -295.000  0.110399E+01
 -45.000 -295.000  0.110236E+01
 -40.000 -295.000  0.110090E+01
 -35.000 -295.000  0.109960E+01
 -30.000 -295.000  0.109847E+01
 -25.000 -295.000  0.109750E+01
 -20.000 -295.000  0.109672E+01
 -15.000 -295.000  0.109610E+01
 -10.000 -295.000  0.109566E+01
  -5.000 -295.000  0.109539E+01
   0.000 -295.000  0.109530E+01
   5.000 -295.000  0.109539E+01
  10.000 -295.000  0.109566E+01
  15.000 -295.000  0.109610E+01
  20.000 -295.000  0.109672E+01
  25.000 -295.000  0.109750E+01
  30.000 -295.000  0.109847E+01
  35.000 -295.000  0.109960E+01
  40.000 -295.000  0.110090E+01
  45.000 -295.000  0.110236E+01
  50.000 -295.000  0.110399E+01
  55.000 -295.000  0.110577E+01
  60.000 -295.000  0.110771E+01
  65.000 -295.000  0.110980E+01
  70.000 -295.000  0.111203E+01
  75.000 -295.000  0.111441E+01
  80.000 -295.000  0.111692E+01
  85.000 -295.000  0.111957E+01
  90.000 -295.000  0.112235E+01
  95.000 -295.000  0.112525E+01
 100.000 -295.000  0.112827E+01
 105.000 -295.000  0.113140E+01
 110.000 -295.000  0.113465E+01
 115.000 -295.000  0.113800E+01
 120.000 -295.000  0.114145E+01
 125.000 -295.000  0.114500E+01
 130.000 -295.000  0.114864E+01
 135.000 -295.000  0.115236E+01
 140.000 -295.000  0.115616E+01
 145.000 -295.000  0.116005E+01
 150.000 -295.000  0.116401E+01
 155.000 -295.000  0.116804E+01
 160.000 -295.000  0.117212E+01
 165.000 -295.000  0.117626E+01
 170.000 -295.000  0.118048E+01
 175.000 -295.000  0.118474E+01
 180.000 -295.000  0.118905E+01
 185.000 -295.000  0.119341E+01
 190.000 -295.000  0.119781E+01
 195.000 -295.000  0.120224E+01
 200.000 -295.000  0.120671E+01
 205.000 -295.000  0.121122E+01
 210.000 -295.000  0.121576E+01
 215.000 -295.000  0.122032E+01
 220.000 -295.000  0.122491E+01
