VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
10.0 	-295.0   8.6925
15.0 	-295.0   8.68
20.0 	-295.0   8.6625
25.0 	-295.0   8.64
30.0 	-295.0   8.6125
35.0 	-295.0   8.58
40.0 	-295.0   8.5425
45.0 	-295.0   8.5
50.0 	-295.0   8.4525
55.0 	-295.0   8.4
60.0 	-295.0   8.3425
65.0 	-295.0   8.28
70.0 	-295.0   8.2125
75.0 	-295.0   8.14
80.0 	-295.0   8.0625
85.0 	-295.0   7.98
90.0 	-295.0   7.8925
95.0 	-295.0   7.8
100.0 	-295.0   7.7025
105.0 	-295.0   7.6
110.0 	-295.0   7.4925
115.0 	-295.0   7.38
120.0 	-295.0   7.2625
125.0 	-295.0   7.14
130.0 	-295.0   7.0125
135.0 	-295.0   6.88
140.0 	-295.0   6.7425
145.0 	-295.0   6.6
150.0 	-295.0   6.4525
155.0 	-295.0   6.3
160.0 	-295.0   6.1425
165.0 	-295.0   5.98
170.0 	-295.0   5.8125
175.0 	-295.0   5.64
180.0 	-295.0   5.4625
185.0 	-295.0   5.28
190.0 	-295.0   5.0925
195.0 	-295.0   4.9
200.0 	-295.0   4.7025
205.0 	-295.0   4.5
210.0 	-295.0   4.2925
215.0 	-295.0   4.08
220.0 	-295.0   3.8625
225.0 	-295.0   3.64
230.0 	-295.0   3.4125
235.0 	-295.0   3.18
240.0 	-295.0   2.9425
245.0 	-295.0   2.7
250.0 	-295.0   2.4525
255.0 	-295.0   2.2
260.0 	-295.0   1.9425
265.0 	-295.0   1.68
270.0 	-295.0   1.4125
275.0 	-295.0   1.14
280.0 	-295.0   0.8625
285.0 	-295.0   0.58
290.0 	-295.0   0.2925
295.0 	-295.0   0
300.0 	-295.0   -0.2975
-300.0 	-290.0   -0.59
-295.0 	-290.0   -0.2925
-290.0 	-290.0   0
-285.0 	-290.0   0.2875
-280.0 	-290.0   0.57
-275.0 	-290.0   0.8475
-270.0 	-290.0   1.12
-265.0 	-290.0   1.3875
-260.0 	-290.0   1.65
-255.0 	-290.0   1.9075
-250.0 	-290.0   2.16
-245.0 	-290.0   2.4075
-240.0 	-290.0   2.65
-235.0 	-290.0   2.8875
-230.0 	-290.0   3.12
-225.0 	-290.0   3.3475
-220.0 	-290.0   3.57
-215.0 	-290.0   3.7875
-210.0 	-290.0   4
-205.0 	-290.0   4.2075
-200.0 	-290.0   4.41
-195.0 	-290.0   4.6075
-190.0 	-290.0   4.8
-185.0 	-290.0   4.9875
-180.0 	-290.0   5.17
